police_station,junction_name,grid_lat,grid_lon,hour_sin,hour_cos,day_sin,day_cos,police_station_freq,junction_name_freq,vehicle_mass_impact,prev_hour_impact,prev_2hour_impact,predicted_impact,actual_impact
HAL Old Airport,No Junction,12.9667,77.7174,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.063818675579695,0.5119768818327415,2.0,0.0,0.0,1.228588,1.2
Vijayanagara,BTP027 - Modi Bridge Junction,12.9975,77.55,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.048238284242044425,0.01305619385836641,11.5,2.4,1.2,13.11151,16.0
Mahadevapura,No Junction,13.0004,77.6776,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.021986630457489033,0.5119768818327415,7.0,0.0,0.0,7.4286137,10.000000000000002
Vijayanagara,BTP028 - Vijayanagar Bus Stand Junction,12.972,77.5376,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.048238284242044425,0.003290160852308335,0.5,1.2,1.0,1.1342324,1.2
Bellandur,No Junction,12.9257,77.6762,0.0,1.0,0.43388373911755823,-0.900968867902419,0.01704268504978762,0.5119768818327415,1.0,1.2,1.2,1.0600618,1.2
High ground,BTP032 - Windsor Circle,12.9912,77.5886,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.00964417519671332,0.0032379360768748696,0.5,2.4,2.4,1.1569991,1.2
Shivajinagar,BTP051 - Safina Plaza Junction,12.981,77.6106,0.8660254037844386,0.5000000000000001,0.0,1.0,0.08265441125269828,0.04388621962258896,1.0,2.4,2.4,1.2506382,1.2
High ground,No Junction,12.9923,77.592,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.00964417519671332,0.5119768818327415,4.0,0.0,0.0,2.646666,2.4
Jeevanbheemanagar,No Junction,12.9791,77.6436,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.021464382703154376,0.5119768818327415,2.0,0.0,0.0,1.2740151,1.0
City Market,BTP082 - KR Market Junction,12.9641,77.5769,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.06268713877863659,0.03944711371074438,0.5,1.2,1.2,1.2304345,1.2
Malleshwaram,No Junction,13.0001,77.5713,0.9659258262890683,0.25881904510252074,-0.9749279121818236,-0.2225209339563146,0.08923473295731495,0.5119768818327415,2.0,0.0,0.0,1.1802068,1.9999999999999996
K.R. Pura,No Junction,13.0082,77.6959,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.024632685746117957,0.5119768818327415,1.0,0.0,0.0,1.2345362,1.2
City Market,BTP082 - KR Market Junction,12.9637,77.5784,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.06268713877863659,0.03944711371074438,1.0,0.0,0.0,1.3711932,1.9999999999999996
Byatarayanapura,No Junction,12.9546,77.5199,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.016433396003063854,0.5119768818327415,1.0,0.0,0.0,1.728309,2.5
Jeevanbheemanagar,No Junction,12.9691,77.6415,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.021464382703154376,0.5119768818327415,0.5,0.0,0.0,1.150852,1.0
Yelahanka,No Junction,13.0942,77.5943,0.0,1.0,0.9749279121818236,-0.22252093395631434,0.006597729963094492,0.5119768818327415,3.0,1.0,0.0,3.9132612,4.8
HAL Old Airport,No Junction,12.9358,77.6902,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.063818675579695,0.5119768818327415,3.0,0.0,0.0,3.7517266,4.8
Jnanabharathi,No Junction,12.9559,77.5184,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.003568692987953485,0.5119768818327415,1.5,1.2,0.0,2.4498198,5.0
J.P. Nagar,"BTP197 - 9th Cross, 24th Main, JP Nagar",12.9104,77.5862,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.005413968386602604,0.0008704129238910939,2.0,0.0,0.0,1.2542048,1.2
Rajajinagar,No Junction,13.0185,77.532,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.03814149432490774,0.5119768818327415,3.0,0.0,0.0,3.1531422,2.4
Upparpet,BTP040 - Elite Junction,12.9774,77.5756,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,0.1027261332776269,0.028967342107095607,2.0,1.0,1.0,1.4496336,1.0
HAL Old Airport,No Junction,12.9336,77.6909,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419,0.063818675579695,0.5119768818327415,3.0,5.0,0.0,5.9697633,3.0
Upparpet,BTP058 - Subbanna Junction,12.9791,77.5791,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,0.1027261332776269,0.017965322749112177,1.0,0.0,0.0,1.1459192,1.0
Rajajinagar,No Junction,13.0107,77.5358,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.03814149432490774,0.5119768818327415,3.0,0.0,0.0,3.037567,3.0
Halasuru Gate,"BTP080 - NR Road, SP Road Junction",12.9641,77.5825,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.025520506928486873,0.014762203189192953,2.0,1.0,1.0,1.397291,1.2
Chikkabanavara,No Junction,13.0455,77.508,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.00342942692013091,0.5119768818327415,1.0,0.0,0.0,1.1587925,1.0
Malleshwaram,No Junction,13.0122,77.555,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.08923473295731495,0.5119768818327415,3.0,0.0,0.0,2.5619793,2.2
Mahadevapura,No Junction,12.979,77.6952,0.25881904510252074,0.9659258262890683,-0.9749279121818236,-0.2225209339563146,0.021986630457489033,0.5119768818327415,2.0,2.5,2.5,2.143309,2.5
Malleshwaram,No Junction,13.01,77.5545,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.08923473295731495,0.5119768818327415,1.0,1.2,0.0,1.1748106,1.2
K.R. Pura,No Junction,13.0048,77.6841,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.024632685746117957,0.5119768818327415,1.0,0.0,0.0,1.4500419,1.2
City Market,BTP043 - Upparpet Junction,12.9706,77.576,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.06268713877863659,0.006475872153749739,0.5,0.0,0.0,1.1460898,1.0
Vijayanagara,No Junction,12.9643,77.543,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.048238284242044425,0.5119768818327415,1.0,1.0,0.0,1.3928165,1.9999999999999996
City Market,BTP082 - KR Market Junction,12.9649,77.5759,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.06268713877863659,0.03944711371074438,1.0,0.0,0.0,1.3809247,2.4
Jeevanbheemanagar,No Junction,12.9792,77.644,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.021464382703154376,0.5119768818327415,2.0,0.0,0.0,1.2740151,1.0
Chikkajala,No Junction,13.1836,77.6795,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.0190968595501706,0.5119768818327415,2.0,2.0,1.0,1.4758285,1.0
Mico Layout,BTP136 - Hosur-Tavarkere Road Junction,12.9312,77.6072,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.007398509853074299,0.0011315368010584221,1.0,1.2,1.2,1.3281716,1.0
Vijayanagara,"BTP022 - Marenahalli Junction, Vijayanagar",12.9676,77.5361,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.048238284242044425,0.003586101246431307,2.0,1.0,1.0,1.1588349,1.0
HAL Old Airport,No Junction,12.945,77.6979,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.063818675579695,0.5119768818327415,2.0,0.0,0.0,1.62834,1.2
Bellandur,No Junction,12.9166,77.6735,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.01704268504978762,0.5119768818327415,2.0,1.2,0.0,1.4896058,1.2
Shivajinagar,BTP051 - Safina Plaza Junction,12.9821,77.6061,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.08265441125269828,0.04388621962258896,0.5,0.0,0.0,1.1923133,1.2
Malleshwaram,No Junction,13.0098,77.5545,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.08923473295731495,0.5119768818327415,2.0,1.0,1.2,1.1674774,1.2
Chamarajpet,"BTP083 - AS Char Street, Mysore Road",12.9672,77.5742,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0.013299909477055916,0.011924657057307986,2.0,0.0,0.0,1.5340798,2.4
HAL Old Airport,No Junction,12.9593,77.6681,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,0.063818675579695,0.5119768818327415,4.0,0.0,0.0,2.7229037,2.4
City Market,BTP043 - Upparpet Junction,12.972,77.5744,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.06268713877863659,0.006475872153749739,1.0,0.0,0.0,1.262022,1.2
Adugodi,BTP134 - Mico Bande,12.9483,77.6025,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.0157544739224288,0.00013926606782257503,1.0,0.0,0.0,1.2208107,1.2
Halasuru Gate,BTP082 - KR Market Junction,12.9643,77.5794,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.025520506928486873,0.03944711371074438,2.0,2.0,1.2,1.2942669,1.0
Basavanagudi,BTP109 - Dewan Madhava Rao Junction,12.9421,77.5718,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.018417937469535548,0.0018278671401712973,2.0,0.0,0.0,1.1959473,1.2
Byatarayanapura,No Junction,12.9364,77.518,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.016433396003063854,0.5119768818327415,2.0,2.0,2.4,1.6093655,1.9999999999999996
Upparpet,BTP058 - Subbanna Junction,12.979,77.5793,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,0.1027261332776269,0.017965322749112177,2.0,1.5,1.0,1.1268439,1.0
Hulimavu,No Junction,12.884,77.5989,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.00844300536174361,0.5119768818327415,1.0,0.0,0.0,1.3679922,1.2
Rajajinagar,"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",12.993,77.5536,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0.03814149432490774,0.004386881136411114,2.0,0.0,0.0,1.2260094,1.2
Ashok Nagar,No Junction,12.9698,77.6068,0.0,1.0,0.7818314824680298,0.6234898018587336,0.008773762272822228,0.5119768818327415,1.0,0.0,0.0,1.187367,1.0
Jeevanbheemanagar,No Junction,12.9702,77.6408,0.0,1.0,0.43388373911755823,-0.900968867902419,0.021464382703154376,0.5119768818327415,1.0,0.0,0.0,1.202418,1.0
Vijayanagara,No Junction,12.9643,77.5424,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.048238284242044425,0.5119768818327415,0.5,3.0,0.0,1.1499925,1.0
Whitefield,No Junction,12.9425,77.7481,1.0,6.123233995736766e-17,0.0,1.0,0.009296010027156883,0.5119768818327415,1.0,0.0,0.0,1.156658,1.2
Rajajinagar,BTP061 - Bhashyam Circle,12.9844,77.5541,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.03814149432490774,0.005152844509435276,2.0,0.0,0.0,1.2022585,2.4
HAL Old Airport,No Junction,12.9396,77.6957,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.063818675579695,0.5119768818327415,2.0,12.5,2.5,2.554107,2.5
Upparpet,BTP045 - Danvanthri Road Junction,12.9778,77.574,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419,0.1027261332776269,0.008477821878699256,3.0,1.2,1.2,2.6267157,2.4
Chikkajala,No Junction,13.1843,77.6796,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0190968595501706,0.5119768818327415,2.0,1.2,2.5,1.2951175,2.5
K.R. Pura,No Junction,13.0082,77.6955,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.024632685746117957,0.5119768818327415,0.5,1.0,12.5,1.9605708,1.2
Magadi Road,No Junction,12.9646,77.5492,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,0.026460552886289256,0.5119768818327415,2.0,0.0,0.0,1.5568986,2.5
Malleshwaram,No Junction,12.9958,77.5715,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.08923473295731495,0.5119768818327415,2.0,0.0,0.0,1.1961181,1.0
Malleshwaram,"BTP026 - 1st Block Junction, Rajajinagar",13.0039,77.5497,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.08923473295731495,0.0032205278183970476,1.0,0.0,0.0,1.3350974,1.2
Malleshwaram,No Junction,13.0125,77.5535,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.08923473295731495,0.5119768818327415,3.0,1.0,1.2,2.2602117,2.2
Hebbala,No Junction,13.0349,77.5889,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,0.009208968734767774,0.5119768818327415,2.0,1.0,1.0,1.2300248,1.0
City Market,BTP082 - KR Market Junction,12.9619,77.5777,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.06268713877863659,0.03944711371074438,2.5,0.0,0.0,3.4157128,4.8
Cubbon Park,"BTP099 - Cash Pharmacy, Residency Road",12.971,77.5985,0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.010218647726481444,0.0009748624747580252,2.0,0.0,0.0,1.2290595,1.0
K.R. Pura,No Junction,13.0266,77.7206,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419,0.024632685746117957,0.5119768818327415,2.0,0.0,0.0,1.3421457,1.0
Chamarajpet,"BTP083 - AS Char Street, Mysore Road",12.9681,77.5747,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.013299909477055916,0.011924657057307986,1.0,2.4,1.2,1.8172389,2.5
Malleshwaram,No Junction,13.0009,77.5713,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.08923473295731495,0.5119768818327415,1.0,1.0,1.0,1.1721983,1.0
Basavanagudi,BTP184 - Lalbagh West Gate,12.9482,77.5801,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,0.018417937469535548,0.0008007798899798064,0.5,1.0,0.0,1.0379429,1.0
Adugodi,No Junction,12.9317,77.6324,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0157544739224288,0.5119768818327415,7.0,1.0,1.2,6.441326,6.0
HAL Old Airport,No Junction,12.9335,77.6913,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0.063818675579695,0.5119768818327415,1.0,1.0,0.0,1.2587001,1.9999999999999996
HAL Old Airport,No Junction,12.9645,77.7182,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.063818675579695,0.5119768818327415,2.0,2.4,0.0,1.1865664,1.2
Adugodi,BTP126 - Dairy Circle,12.9374,77.6019,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.0157544739224288,0.0014797019706148597,1.0,0.0,0.0,1.470252,2.5
Chikkajala,No Junction,13.1841,77.688,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434,0.0190968595501706,0.5119768818327415,12.0,0.0,0.0,7.4281354,7.2
Shivajinagar,BTP051 - Safina Plaza Junction,12.9812,77.6095,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.08265441125269828,0.04388621962258896,1.0,1.0,1.0,1.4714996,1.9999999999999996
Malleshwaram,BTP023 - Mahalaxmi Layout Entrance,13.0112,77.551,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.08923473295731495,0.007050344683517861,12.0,0.0,0.0,8.649877,8.000000000000002
Ashok Nagar,No Junction,12.9709,77.6051,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.008773762272822228,0.5119768818327415,2.0,2.5,0.0,2.392186,2.5
Mico Layout,No Junction,12.9307,77.6053,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.007398509853074299,0.5119768818327415,2.0,0.0,0.0,1.4163332,1.2
Malleshwaram,"BTP026 - 1st Block Junction, Rajajinagar",13.0042,77.5493,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.08923473295731495,0.0032205278183970476,1.0,0.0,0.0,1.3731108,1.2
Malleshwaram,No Junction,13.0121,77.5527,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.08923473295731495,0.5119768818327415,2.0,1.0,1.0,1.108624,1.2
Chikkajala,No Junction,13.1934,77.65,0.0,1.0,0.43388373911755823,-0.900968867902419,0.0190968595501706,0.5119768818327415,1.0,0.0,0.0,1.5658293,1.0
K.R. Pura,No Junction,13.0044,77.7127,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.024632685746117957,0.5119768818327415,1.0,0.0,0.0,1.3763494,1.2
K.R. Pura,No Junction,13.0085,77.6959,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,0.024632685746117957,0.5119768818327415,6.0,1.2,1.2,5.1745796,3.599999999999999
HAL Old Airport,No Junction,12.95,77.6997,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.063818675579695,0.5119768818327415,1.0,2.5,2.5,1.778102,1.2
HAL Old Airport,No Junction,12.957,77.7022,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.063818675579695,0.5119768818327415,0.5,2.0,2.5,1.2864182,1.0
Vijayanagara,No Junction,12.9643,77.5422,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.048238284242044425,0.5119768818327415,1.0,1.2,0.0,1.633601,1.0
Malleshwaram,No Junction,12.9956,77.5714,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.08923473295731495,0.5119768818327415,2.0,1.0,0.0,1.4176142,1.9999999999999996
Wilson Garden,"BTP186 - 9th Cross, 4th Main, Jayanagar",12.9385,77.5841,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.013091010375322053,0.0021586240512499128,2.0,0.0,0.0,1.2702082,1.0
Bellandur,No Junction,12.9125,77.681,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.01704268504978762,0.5119768818327415,2.0,1.0,0.0,1.1838788,1.0
City Market,BTP082 - KR Market Junction,12.9661,77.5772,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.06268713877863659,0.03944711371074438,0.5,0.0,0.0,1.1691597,1.2
City Market,BTP082 - KR Market Junction,12.9616,77.5775,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.06268713877863659,0.03944711371074438,1.0,0.0,0.0,1.3001901,1.2
Upparpet,BTP045 - Danvanthri Road Junction,12.9776,77.5753,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.1027261332776269,0.008477821878699256,1.0,0.0,0.0,1.2129587,1.2
Shivajinagar,BTP211 - Central Street Junction,12.9833,77.6034,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.08265441125269828,0.01808718055845693,2.0,2.2,0.0,1.5283785,1.2
Magadi Road,"BTP070 - Cholurpalya Junction, Magadi Road",12.9736,77.5513,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.026460552886289256,0.004247615068588538,0.5,1.0,0.0,1.1005152,1.9999999999999996
Upparpet,BTP044 - Sagar Theatre Junction,12.973,77.5785,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.1027261332776269,0.03302346633242811,2.0,2.0,1.2,1.6297555,1.0
Adugodi,BTP135 - UCO Bank Junction,12.9357,77.6116,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.0157544739224288,0.0034816516955643757,1.0,6.0,1.0,1.3058964,1.9999999999999996
Shivajinagar,BTP051 - Safina Plaza Junction,12.9805,77.6101,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.08265441125269828,0.04388621962258896,2.0,0.0,0.0,1.2629955,1.2
HAL Old Airport,No Junction,12.9329,77.6881,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.063818675579695,0.5119768818327415,1.0,1.0,1.0,1.3299344,1.0
HAL Old Airport,No Junction,12.9334,77.691,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.063818675579695,0.5119768818327415,1.0,5.0,0.0,1.7761402,2.2
HAL Old Airport,No Junction,12.9498,77.6997,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419,0.063818675579695,0.5119768818327415,1.0,2.5,2.5,1.7442358,1.2
Malleshwaram,No Junction,12.9996,77.5714,0.9659258262890683,0.25881904510252074,-0.7818314824680299,0.6234898018587334,0.08923473295731495,0.5119768818327415,2.0,1.0,1.0,1.1747859,1.2
Mico Layout,BTP130 - GD Mara Junction,12.9068,77.6012,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.007398509853074299,0.0028201378734071443,1.0,0.0,0.0,1.7241452,1.9999999999999996
Kodigehalli,No Junction,13.0701,77.5874,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.031578580878768886,0.5119768818327415,4.0,0.0,0.0,3.091644,2.4
Shivajinagar,BTP051 - Safina Plaza Junction,12.9812,77.6102,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.08265441125269828,0.04388621962258896,0.5,1.2,1.0,1.1725283,1.2
Malleshwaram,No Junction,12.9976,77.5596,0.49999999999999994,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,0.08923473295731495,0.5119768818327415,2.0,0.0,0.0,1.2694112,1.2
Jeevanbheemanagar,No Junction,12.9702,77.639,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,0.021464382703154376,0.5119768818327415,1.0,0.0,0.0,1.3417671,1.0
Upparpet,BTP044 - Sagar Theatre Junction,12.9736,77.5793,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.1027261332776269,0.03302346633242811,0.5,0.0,0.0,1.1568403,1.0
K.R. Pura,No Junction,13.0082,77.6947,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,0.024632685746117957,0.5119768818327415,1.0,0.0,0.0,1.2217077,1.2
HAL Old Airport,No Junction,12.9584,77.7158,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.063818675579695,0.5119768818327415,2.0,0.0,0.0,1.2287738,1.2
Upparpet,BTP044 - Sagar Theatre Junction,12.9775,77.5785,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,0.1027261332776269,0.03302346633242811,2.0,1.0,1.0,1.0230438,1.0
City Market,BTP044 - Sagar Theatre Junction,12.9731,77.578,0.0,1.0,-0.9749279121818236,-0.2225209339563146,0.06268713877863659,0.03302346633242811,1.0,0.0,0.0,1.2764289,1.0
City Market,BTP104 - Medical College Circle,12.9606,77.5777,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.06268713877863659,0.005379151869646961,2.0,0.0,0.0,1.5783033,2.4
Upparpet,BTP058 - Subbanna Junction,12.9784,77.581,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.1027261332776269,0.017965322749112177,1.0,2.4,0.0,1.2402658,1.2
K.R. Pura,No Junction,13.0084,77.6945,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.024632685746117957,0.5119768818327415,2.0,11.0,2.5,3.0311086,5.0
HAL Old Airport,No Junction,12.9305,77.6855,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419,0.063818675579695,0.5119768818327415,2.0,1.0,1.2,1.3249863,1.2
Malleshwaram,No Junction,12.9953,77.5715,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.08923473295731495,0.5119768818327415,4.0,1.0,1.0,2.2974749,1.9999999999999996
Upparpet,BTP057 - Anand Rao Junction,12.9789,77.5723,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.1027261332776269,0.013317317735533737,1.0,0.0,0.0,1.1619442,1.2
Wilson Garden,BTP184 - Lalbagh West Gate,12.948,77.58,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0.013091010375322053,0.0008007798899798064,1.0,0.0,0.0,1.2030455,1.0
Shivajinagar,No Junction,12.9833,77.6094,0.7071067811865475,0.7071067811865476,0.0,1.0,0.08265441125269828,0.5119768818327415,0.5,6.0,0.0,1.32469,1.2
Malleshwaram,"BTP001 - 10th Cross, Dr. Rajkumar Road",13.0081,77.5561,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.08923473295731495,0.00981825778149154,0.5,1.0,1.2,1.1089556,1.2
Malleshwaram,No Junction,13.0118,77.5523,0.0,1.0,-0.7818314824680299,0.6234898018587334,0.08923473295731495,0.5119768818327415,1.0,0.0,0.0,1.1448804,1.0
Vijayanagara,BTP068 - Veeresh Theatre Junction,12.9759,77.5452,-0.25881904510252157,0.9659258262890681,-0.7818314824680299,0.6234898018587334,0.048238284242044425,0.001584151521481791,2.0,0.0,0.0,1.5648417,1.2
Basavanagudi,BTP108 - Tagore Park Junction,12.9453,77.5712,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.018417937469535548,0.008843395306733514,2.0,1.0,1.0,1.2112207,1.2
HSR Layout,No Junction,12.9121,77.6379,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.01568484088851751,0.5119768818327415,0.5,0.0,0.0,1.0956571,1.0
Upparpet,BTP058 - Subbanna Junction,12.979,77.5794,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.1027261332776269,0.017965322749112177,2.0,1.0,1.0,1.0481088,1.0
Shivajinagar,BTP171 - Indian Express (Balekundri),12.9881,77.5988,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,0.08265441125269828,0.0005222477543346564,2.0,0.0,0.0,1.1741377,1.2
Jeevanbheemanagar,No Junction,12.9727,77.6472,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.021464382703154376,0.5119768818327415,4.0,0.0,0.0,3.218345,3.5000000000000004
Jeevanbheemanagar,No Junction,12.9594,77.6543,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.021464382703154376,0.5119768818327415,1.0,0.0,0.0,1.5073848,2.2
Upparpet,BTP040 - Elite Junction,12.9773,77.5756,0.8660254037844386,0.5000000000000001,0.0,1.0,0.1027261332776269,0.028967342107095607,0.5,1.0,1.2,1.1439313,1.0
Upparpet,BTP045 - Danvanthri Road Junction,12.9779,77.5741,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,0.1027261332776269,0.008477821878699256,2.0,0.0,0.0,1.2970469,2.4
Upparpet,BTP044 - Sagar Theatre Junction,12.9777,77.5794,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,0.1027261332776269,0.03302346633242811,0.5,0.0,0.0,1.0965608,1.0
